Bus_Name,Bus_Type,Departure_Time,Destination_Time,Total_Duration,Ratings,Price,Seats_Available,Route_name,Route_Link
TSRTC - 8977,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:50,17:45,03h 55m,"3.6
13",INR 320,30 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64020,RAJDHANI (A.C. Semi Sleeper),14:00,18:00,04h 00m,"3.5
64",INR 389,26 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64863,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:10,18:30,04h 20m,3.6,INR 320,22 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8974,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:40,18:30,03h 50m,"2.7
9",INR 320,31 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8665,LAHARI A/C SLEEPER CUM SEATER,15:00,20:00,05h 00m,"4.0
65",INR 389,9 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8969,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,19:30,04h 15m,"4.2
12",INR 320,31 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8698,RAJDHANI (A.C. Semi Sleeper),15:30,19:30,04h 00m,"3.4
43",INR 389,34 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8623,RAJDHANI (A.C. Semi Sleeper),16:00,20:00,04h 00m,3.6,INR 389,37 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 34331,LAHARI A/C SLEEPER CUM SEATER,16:20,19:50,03h 30m,3.6,INR 389,29 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 1319,LAHARI A/C SLEEPER CUM SEATER,17:10,20:45,03h 35m,"3.1
84",INR 389,36 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,21:30,04h 10m,"3.7
50",INR 320,28 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:30,21:30,04h 00m,"3.8
56",INR 389,35 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,22:00,04h 00m,"3.1
37",INR 389,35 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 1952,LAHARI A/C SLEEPER CUM SEATER,18:10,21:45,03h 35m,"3.1
42",INR 389,38 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 4172,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,22:30,04h 00m,"4.1
42",INR 389,32 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8677,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,23:40,04h 10m,"3.9
20",INR 320,31 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 64022,RAJADHANI AC (CONVERTED METRO LUXURY),19:30,00:15,04h 45m,"2.8
28",INR 389,34 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,"3.1
49",INR 389,35 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TSRTC - 8619,RAJADHANI AC (CONVERTED METRO LUXURY),22:00,02:00,04h 00m,"3.8
71",INR 389,28 Seats available,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
